BICOPEBA/RIBEIRO DO MEL;CONVENCIONAL;47km;R$:13,52 
BICOPEBA/LIMOEIRO;CONVENCIONAL;41,6km;R$:11,97 
BICOPEBA/LAGOA DO CARRO;CONVENCIONAL;23,3km;R$:6,70 
BICOPEBA/CARPINA;CONVENCIONAL;17,4km;R$:5,01 
BICOPEBA/PAUDALHO;CONVENCIONAL;4,3km;R$:4,00 
PAUDALHO/CUMARU;CONVENCIONAL;80,7km;R$:23,22 
PAUDALHO/PASSIRA;CONVENCIONAL;68,7km;R$:19,77 
PAUDALHO/RIBEIRO DO MEL;CONVENCIONAL;42,7km;R$:12,29 
PAUDALHO/LIMOEIRO;CONVENCIONAL;37,3km;R$:10,73 
PAUDALHO/LAGOA DO CARRO;CONVENCIONAL;19km;R$:5,47 
PAUDALHO/CARPINA;CONVENCIONAL;13,1km;R$:4,00 
CARPINA/CUMARU;CONVENCIONAL;67,6km;R$:19,45 
CARPINA/PASSIRA;CONVENCIONAL;55,6km;R$:16,00 
CARPINA/RIBEIRO DO MEL;CONVENCIONAL;29,6km;R$:8,52 
CARPINA/LIMOEIRO;CONVENCIONAL;24,2km;R$:6,96 
CARPINA/LAGOA DO CARRO;CONVENCIONAL;5,9km;R$:4,00 
LAGOA DO CARRO/CUMARU;CONVENCIONAL;61,7km;R$:17,75 
LAGOA DO CARRO/PASSIRA;CONVENCIONAL;49,7km;R$:14,30 
LAGOA DO CARRO/RIBEIRO DO MEL;CONVENCIONAL;23,7km;R$:6,82 
LAGOA DO CARRO/LIMOEIRO;CONVENCIONAL;18,3km;R$:5,27 
LIMOEIRO/CUMARU;CONVENCIONAL;43,4km;R$:12,49 
LIMOEIRO/PASSIRA;CONVENCIONAL;31,4km;R$:9,04 
LIMOEIRO/RIBEIRO DO MEL;CONVENCIONAL;5,4km;R$:4,00 
RIBEIRO DO MEL/CUMARU;CONVENCIONAL;38km;R$:10,93 
RIBEIRO DO MEL/PASSIRA;CONVENCIONAL;26km;R$:7,48 
